opec,descripcion,nivel_requerido,titulos_requeridos,experiencia_minima_meses
11204,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas alcohólicas, en concordancia con la legislación sanitaria, las políticas, directrices de la Institución y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
11205,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas alcohólicas, en concordancia con la legislación sanitaria, las políticas, directrices de la Institución y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
11206,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas alcohólicas, en concordancia con la legislación sanitaria, las políticas, directrices de la Institución y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
11207,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas alcohólicas, en concordancia con la legislación sanitaria, las políticas, directrices de la Institución y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
11208,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11209,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11210,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11211,"En el Programa de Inspección Vigilancia y Control de plantas de beneficio de animales;
ejecutar actividades del Sistema Oficial de Inspección, Vigilancia y Control de Plantas de Beneficio de animales de abasto público, para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.",PROFESIONAL,MEDICINA VETERINARIA | ZOOTECNIA,30.0
11212,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11213,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11214,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11215,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11216,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11217,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11218,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11219,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11220,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11221,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la
fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en
particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en
concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices
del Instituto.",PROFESIONAL,,30.0
11222,Adelantar los programas de control de calidad de alimentos y bebidas como apoyo a las labores de vigilancia y control competencia de la Dirección de Alimentos y Bebidas de acuerdo con las normas y procedimientos vigentes.,PROFESIONAL,INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | INGENIERÍA QUÍMICA | QUÍMICA | QUÍMICA FARMACÉUTICA,30.0
12071,"Gestionar y ejecutar los programas de Inspección, Vigilancia y Control de Alimentos y
Bebidas que permitan garantizar la calidad e inocuidad de los mismos en el área del
Grupo de Trabajo asignado con el propósito de reducir los riesgos químicos asociados a
la producción y procesamiento de los alimentos, especialmente de las frutas y otros
vegetales.",PROFESIONAL,,7.0
12072,"Realizar control de calidad a los alimentos y bebidas como apoyo a las labores de
vigilancia y control competencia de la Dirección de Alimentos y Bebidas de acuerdo con
las normas y procedimientos vigentes.",PROFESIONAL,BACTERIOLOGÍA | BIOQUÍMICA DE ALIMENTOS | DE ALIMENTOS | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL | INGENIERÍA QUÍMICA | MICROBIOLOGÍA | QUÍMICA | QUÍMICA FARMACÉUTICA,7.0
12755,"Llevar a cabo los programas de Inspección, Vigilancia y Control de los productos competencia del INVIMA que permitan garantizarla calidad e inocuidad de los mismos en el área del Grupo de Trabajo asignado.",PROFESIONAL,BACTERIOLOGÍA | BIOQUÍMICA DE ALIMENTOS | CIENCIA YTECNOLOGÍA DE ALIMENTOS | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | MICROBIOLOGÍA INDUSTRIAL | QUÍMICA | QUÍMICA DE ALIMENTOS | QUÍMICA FARMACÉUTICA | ZOOTECNIA,10.0
12756,"Verificar el cumplimiento de los requisitos de calidad e inocuidad de los productos competencia de la dirección como apoyo a los programas de vigilancia y control competencia de la Dirección de Alimentos, de acuerdo con las normas y procedimientos
vigentes.",PROFESIONAL,BACTERIOLOGÍA | MICROBIOLOGÍA,10.0
13988,"Realizar el análisis fisicoquímico de alimentos para determinar la inocuidad y calidad de
los alimentos y bebidas, especialmente de las frutas y otros vegetales como apoyo a las
labores de vigilancia y control competencia de la Dirección de Alimentos y Bebidas de
acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,BIOQUÍMICA DE ALIMENTOS | INGENIERÍA DE ALIMENTOS | QUÍMICA | QUÍMICA DE ALIMENTOS E INGENIERÍA INDUSTRIAL DE ALIMENTOS | QUÍMICA FARMACÉUTICA,16.0
13989,"Realizar el análisis microbiológico para determinar la inocuidad y calidad de los
alimentos, especialmente los relacionados con las frutas y otros vegetales como apoyo a
las labores de vigilancia y control competencia de la Dirección de Alimentos y Bebidas
de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,,16.0
13990,"Gestionar y ejecutar los programas de Inspección, Vigilancia y Control de Alimentos y
Bebidas que permitan garantizar la calidad e inocuidad de los mismos en el área del
Grupo de Trabajo asignado.",PROFESIONAL,BIOQUÍMICA DE ALIMENTOS | CIENCIA | INGENIERÍA DE ALIMENTOS | INGENIERÍA QUÍMICA | MEDICINA VETERINARIA | MICROBIOLOGÍA | QUÍMICA DE ALIMENTOS | QUÍMICA FARMACÉUTICA | TECNOLOGÍA DE ALIMENTOS | ZOOTECNIA,16.0
13991,"Proponer el desarrollo de políticas, planes, programas, proyectos y procedimientos
relacionados con la gestión e implementación de los procesos de inspección, vigilancia y
control de riesgos que afectan la inocuidad de los alimentos, especialmente de las cadenas
de frutas y de otros vegetales competencia de la Dirección de Alimentos y Bebidas, de
acuerdo con las normas y procedimientos vigentes.
",PROFESIONAL,BACTERIOLOGÍA | BIOQUÍMICA DE ALIMENTOS | CIENCIA | INGENIERÍA AGROINDUSTRIAL | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | INGENIERÍA QUÍMICA | QUÍMICA DE ALIMENTOS | QUÍMICA FARMACÉUTICA | TECNOLOGÍA DE ALIMENTOS,16.0
13992,"Gestionar el desarrollo de los planes, proyectos y programas, para promover el
desarrollo integral del talento humano al servicio de la Entidad, de acuerdo con las
normas y procedimientos legales vigentes.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | DERECHO | INGENIERÍA INDUSTRIAL | PSICOLOGÍA,16.0
13992,"Gestionar el desarrollo de los planes, proyectos y programas, para promover el
desarrollo integral del talento humano al servicio de la Entidad, de acuerdo con las
normas y procedimientos legales vigentes.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | DERECHO | INGENIERÍA INDUSTRIAL | PSICOLOGÍA,16.0
13992,"Gestionar el desarrollo de los planes, proyectos y programas, para promover el
desarrollo integral del talento humano al servicio de la Entidad, de acuerdo con las
normas y procedimientos legales vigentes.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | DERECHO | INGENIERÍA INDUSTRIAL | PSICOLOGÍA,16.0
13993,"Responder por la ejecución presupuestal del INVIMA, de acuerdo con las normas vigentes y Manual de Procesos y Procedimientos adoptado por la Entidad.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | CONTADURÍA PÚBLICA | ECONOMÍA | FINANZAS | INGENIERÍA INDUSTRIAL,16.0
14895,"Realizar el análisis fisicoquímico de alta complejidad para determinar la inocuidad y
calidad de los alimentos y bebidas, especialmente en las frutas y otros vegetales, como apoyo a las labores de vigilancia y control competencia de la Dirección de Alimentos y Bebidas de acuerdo con las normas y procedimientos vigentes.
",PROFESIONAL,,19.0
14896,"Realizar el análisis microbiológico basado en tecnologías y estándares internacionales, para determinar la inocuidad de los productos competencia del INVIMA como apoyo a las labores de vigilancia y control competencia de la Dirección de Alimentos y Bebidas
de acuerdo con las normas y procedimientos vigentes.
",PROFESIONAL,BACTERIOLOGÍA | MICROBIOLOGÍA | MICROBIOLOGÍA DE ALIMENTOS | MICROBIOLOGÍA INDUSTRIAL,19.0
14897,"Participar en la definición y desarrollo de políticas, planes, programas y procedimientos de inspección, vigilancia y control de riesgos que afectan la inocuidad de los alimentos, frutas y otros vegetales competencia de la Dirección de Alimentos y Bebidas de acuerdo
con las normas y procedimientos vigentes.	
",PROFESIONAL,,19.0
15415,"Responder por las actividades financieras y presupuestales del INVIMA, de acuerdo con las normas legales vigentes y el Manual de Procesos y Procedimientos a doptado por el Instituto.",PROFESIONAL,ADMINISTRACIÓN DE EMPRESAS | ADMINISTRACIÓN INDUSTRIAL | ADMINISTRACIÓN PÚBLICA | CONTADURÍA PÚBLICA | DERECHO | ECONOMÍA | FINANZAS | INGENIERÍA INDUSTRIAL,22.0
15918,"Garantizar el cumplimiento de los estándares técnicos requeridos y el desarrollo de nuevas metodologías, programas y planes de muestreo analíticos, relacionados con los
análisis fisicoquímicos para la determinación de sustancias químicas y contaminantes presentes  en  los  alimentos,  materias  primas  y  bebidas,  con  el  fin  de  verificar  los
requisitos  de  inocuidad,  como  apoyo  a  los  programas  de  vigilancia  y  control competencia de la dirección de alimentos y bebidas.
",PROFESIONAL,BIOQUÍMICA DE ALIMENTOS | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | QUÍMICA | QUÍMICA DE ALIMENTOS,25.0
15919,"Garantizar el cumplimiento de los estándares técnicos requeridos y el desarrollo de
nuevas metodologías, programas y planes de muestreo relacionados con los análisis microbiológicos para la determinación de agentes patógenos presentes en los alimentos, materias primas y bebidas, con el fin de verificar los requisitos de inocuidad, como apoyo a los programas de vigilancia y control competencia de la dirección de Alimentos y Bebidas.
",PROFESIONAL,BACTERIOLOGÍA | MICROBIOLOGÍA | MICROBIOLOGÍA DE ALIMENTOS | MICROBIOLOGÍA INDUSTRIAL,25.0
15920,"Evaluar  los efectos de los residuos químicos presentes en los alimentos o materias primas, especialmente en frutas y hortalizas durante su producción y procesamiento, que puedan generar problemas a la inocuidad y la salud pública, con el fin de contribuir en las evaluaciones toxicológicas y la definición de límites máximos de residuos.",PROFESIONAL,INGENIERÍA DE ALIMENTOS | INGENIERÍA QUÍMICA | MEDICINA | QUÍMICA | QUÍMICA FARMACÉUTICA,25.0
15921,"Realizar el estudio y análisis del comportamiento químico de las moléculas presentes en las sustancias químicas o contaminantes, aplicados en las materias primas o alimentos,
especialmente en frutas y hortalizas para determinar el efecto de las mismas en la salud.
",PROFESIONAL,,25.0
15922,"Realizar las actividades del laboratorio de medicamentos, tendientes a asegurar la
ejecución de los programas de vigilancia y control incluidos en los planes estratégicos
del Instituto.",PROFESIONAL,QUÍMICA FARMACÉUTICA,25.0
17090,"Diseñar, proponer y liderar estudios e investigaciones que promuevan el montaje,
validación y estandarización de técnicas analíticas para la detección y monitoreo de
microorganismos de los productos competencia de la dirección.",PROFESIONAL,BACTERIOLOGÍA | MICROBIOLOGÍA | MICROBIOLOGÍA DE ALIMENTOS | MICROBIOLOGÍA INDUSTRIAL,31.0
17091,"Diseñar, proponer y liderar estudios e investigaciones que promuevan el montaje,
validación y estandarización de técnicas analíticas de alta complejidad para el monitoreo
de residuos y contaminantes químicos en alimentos, frutas y otros vegetales.",PROFESIONAL,BIOQUÍMICA DE ALIMENTOS | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | INGENIERÍA QUÍMICA | QUÍMICA | QUÍMICA DE ALIMENTOS,31.0
17092,"Formular, desarrollar, hacer seguimiento y evaluación a los planes, programas y
proyectos de inspección, vigilancia y control de riesgos que afectan la inocuidad de los
alimentos, especialmente de las cadenas de frutas y de otros vegetales.",PROFESIONAL,BIOQUÍMICA DE ALIMENTOS | CIENCIA | INGENIERÍA AGROINDUSTRIAL | INGENIERÍA DE ALIMENTOS | INGENIERÍA DE PRODUCCIÓN BIOTECNOLÓGICA | INGENIERÍA INDUSTRIAL DE ALIMENTOS | INGENIERÍA QUÍMICA | MEDICINA | QUÍMICA DE ALIMENTOS | TECNOLOGÍA DE ALIMENTOS,31.0
17093,"Realizar la evaluación toxicológica de los estudios presentados sobre los efectos de los residuos químicos y sustancias que se encuentran presentes en los alimentos, frutas y
otros vegetales o materias primas, utilizados en las diferentes etapas de la cadena productiva y que inciden en la inocuidad y la salud pública.",PROFESIONAL,BIOQUÍMICA | BIOQUÍMICA DE ALIMENTOS | INGENIERÍA QUÍMICA | MEDICINA | QUÍMICA | QUÍMICA DE ALIMENTOS,31.0
17094,"Evaluar el comportamiento químico de las moléculas presentes en las sustancias
químicas utilizados en materias primas y alimentos, frutas u otros vegetales para
determinar el efecto de las mismas en la salud pública.",PROFESIONAL,BIOLOGÍA | INGENIERÍA BIOLÓGICA | INGENIERÍA DE ALIMENTOS | INGENIERÍA QUÍMICA | MEDICINA | QUÍMICA | QUÍMICA DE ALIMENTOS | QUÍMICA FARMACÉUTICA,31.0
17095,"Realizar el análisis estadístico de los modelos de evaluación de los estudios técnico /
científicos empleados en la evaluación toxicológica de residuos y contaminantes
químicos que se encuentran presentes en las materias primas o alimentos, frutas y otros
vegetales asociados a la inocuidad y los efectos en salud.",PROFESIONAL,BACTERIOLOGÍA | INGENIERÍA QUÍMICA | MEDICINA | QUÍMICA,31.0
17096,"Formular, desarrollar, evaluar y hacer seguimiento de los planes, programas y proyectos
relacionados con la evaluación y gestión de los riesgos químicos (contaminantes y
residuos) que afectan la inocuidad de los alimentos, frutas y de otros vegetales de
acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,BIOQUÍMICA DE ALIMENTOS | CIENCIA | INGENIERÍA DE ALIMENTOS | INGENIERÍA INDUSTRIAL DE ALIMENTOS | INGENIERÍA QUÍMICA | MEDICINA | QUÍMICA | QUÍMICA DE ALIMENTOS | TECNOLOGÍA DE ALIMENTOS,31.0
23328,"Realizar actividades de apoyo técnico y asistencial que permitan la Inspección,
Vigilancia y Control de Alimentos y materias primas para la fabricación de los mismos en
el Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo,
según sea el caso, en concordancia con la legislación y procedimientos vigentes y las
políticas y directrices del Instituto.",PROFESIONAL,,9.0
23328,"Realizar actividades de apoyo técnico y asistencial que permitan la Inspección,
Vigilancia y Control de Alimentos y materias primas para la fabricación de los mismos en
el Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo,
según sea el caso, en concordancia con la legislación y procedimientos vigentes y las
políticas y directrices del Instituto.",PROFESIONAL,,9.0
30443,"Conducir y custodiar el vehículo asignado al servicio del Instituto, respetando las
disposiciones de tránsito y normas de seguridad.",NO ESPECIFICADO,,0.0
31260,"Realizar actividades de apoyo y asistencia administrativa en el trámite y ejecución de
los procesos llevados a cabo en la dependencia, de acuerdo con las disposiciones
legales, reglamentarias y procedimientos vigentes.",NO ESPECIFICADO,,6.0
31261,"Realizar funciones de apoyo y asistencia administrativa, que faciliten el desarrollo y
ejecución de las actividades en cumplimiento de la gestión administrativa de la
dependencia, teniendo en cuentas la normatividad vigente, procedimientos y las
políticas de la Entidad.",NO ESPECIFICADO,,6.0
32100,"Desempeñar funciones de oficina y de asistencia administrativa que faciliten el
desarrollo de la gestión administrativa y el cumplimiento de las responsabilidades de la
dependencia, teniendo en cuenta la normatividad vigente, procedimientos y las políticas
de la Entidad.",BACHILLER,,15.0
41665,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41667,"Verificar el cumplimiento de los requisitos de calidad de los dispositivos médicos y Otras Tecnologías como apoyo a los programas de Vigilancia y Control  competencia de la Dirección de Dispositivos Médicos y Otras Tecnologías, de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,,25.0
41817,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,19.0
42758,"Realizar actividades del Sistema Oficial de Inspección, Vigilancia y Control en Plantas de Beneficio de animales de abasto público, para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes",PROFESIONAL,,19.0
42708,"Planificar y estructurar las actividades de Inspección, Vigilancia y Control a Bancos de Sangre (y servicios de transfusión sanguínea); en concordancia con la normatividad vigente para Banco de Sangre, procedimientos, políticas y directrices del Instituto.",PROFESIONAL,,19.0
42712,"Desarrollar las actividades institucionales en el desarrollo de acuerdos, negociaciones internacionales y acceso a mercados, que permitan cumplir con los compromisos derivados de la puesta en marcha de Acuerdos de Libre Comercio, apoyar al gobierno nacional y al sector privado en el aprovechamiento de estos acuerdos en relación con los productos y actividades de competencia del INVIMA..",PROFESIONAL,,19.0
42724,Orientar legalmente en todos los asuntos de competencia de la dependencia y de los programas del Instituto.,PROFESIONAL,,25.0
42727,Orientar legalmente en todos los asuntos de competencia de la dependencia y de los programas del Instituto.,PROFESIONAL,,25.0
42733,"Elaborar, planificar y programar las actividades administrativas que permitan el buen desempeño de las funciones en las direcciones misionales del instituto y conlleven a alcanzar el cumplimiento de la planificación estratégica del Instituto.",PROFESIONAL,,25.0
42742,"Formular, gestionar y ejecutar planes, programas, proyectos y metodologías del instituto acuerdo con la normatividad y los lineamientos nacionales y sectoriales.",PROFESIONAL,,25.0
42751,"Ejecutar actividades relacionadas con ingreso y salida del país de los productos vigilados por el INVIMA, que permitan el cumplimiento de las normas sanitarias y de comercio exterior, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,19.0
42754,"Realizar Inspección, Vigilancia y Control a dispositivos médicos para la salud visual y ocular y otros dispositivos médicos competencia del INVIMA, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,19.0
42764,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes,PROFESIONAL,,30.0
